country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","11-02-2026 10:00:00",25.592539,85.227158,PM2.5,198,348,292
India,Bihar,Patna,"Muradpur, Patna - BSPCB","11-02-2026 10:00:00",25.619651,85.147382,PM2.5,49,86,66
India,Bihar,Patna,"Muradpur, Patna - BSPCB","11-02-2026 10:00:00",25.619651,85.147382,OZONE,4,16,5
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","11-02-2026 10:00:00",25.599486,85.113666,PM10,52,171,100
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","11-02-2026 10:00:00",25.599486,85.113666,NO2,14,59,31
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","11-02-2026 10:00:00",25.251013,86.989001,PM10,45,127,74
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","11-02-2026 10:00:00",25.251013,86.989001,SO2,30,76,53
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","11-02-2026 10:00:00",25.204762,85.514960,NO2,9,10,9
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","11-02-2026 10:00:00",25.204762,85.514960,SO2,10,10,10
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","11-02-2026 10:00:00",25.7808257,84.7446768,PM10,29,285,108
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","11-02-2026 10:00:00",24.7955,84.9994,PM2.5,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","11-02-2026 10:00:00",27.308328,84.531742,CO,32,33,32
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","11-02-2026 10:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","11-02-2026 10:00:00",25.376776,86.471523,PM10,45,114,71
India,Bihar,Munger,"Town Hall, Munger - BSPCB","11-02-2026 10:00:00",25.376776,86.471523,NH3,2,2,2
India,Bihar,Munger,"Town Hall, Munger - BSPCB","11-02-2026 10:00:00",25.376776,86.471523,SO2,26,31,30
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-02-2026 10:00:00",25.366336,87.117468,SO2,15,16,16
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","11-02-2026 10:00:00",25.892357,86.590325,NO2,5,8,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","11-02-2026 10:00:00",25.892357,86.590325,OZONE,7,11,10
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","11-02-2026 10:00:00",25.859655,85.77944,NO2,7,9,8
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","11-02-2026 10:00:00",14.675886,77.593027,CO,21,29,24
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","11-02-2026 10:00:00",14.675886,77.593027,OZONE,17,17,17
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","11-02-2026 10:00:00",13.204880,79.097889,NH3,5,6,6
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","11-02-2026 10:00:00",26.2271665,84.3570427,NO2,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","11-02-2026 10:00:00",26.2271665,84.3570427,OZONE,13,14,13
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","11-02-2026 10:00:00",30.735567,76.775714,PM2.5,58,170,101
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","11-02-2026 10:00:00",30.735567,76.775714,NO2,7,178,30
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","11-02-2026 10:00:00",30.751462,76.762879,SO2,2,31,8
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-02-2026 10:00:00",21.194815,81.314770,PM2.5,16,51,32
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-02-2026 10:00:00",21.194815,81.314770,OZONE,2,35,3
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","11-02-2026 10:00:00",21.185571,81.343175,NO2,22,240,102
India,Delhi,Delhi,"Mundka, Delhi - DPCC","11-02-2026 10:00:00",28.684678,77.076574,PM2.5,97,500,370
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","11-02-2026 10:00:00",28.60909,77.0325413,PM10,117,281,178
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","11-02-2026 10:00:00",28.570173,76.933762,NO2,95,151,120
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","11-02-2026 10:00:00",28.570173,76.933762,CO,18,122,56
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-02-2026 10:00:00",28.822836,77.101981,NO2,21,99,53
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-02-2026 10:00:00",28.822836,77.101981,SO2,12,40,21
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-02-2026 10:00:00",28.567890,77.250515,NH3,7,13,10
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","11-02-2026 10:00:00",28.6573814,77.1585447,NO2,60,178,113
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","11-02-2026 10:00:00",21.371751,81.664929,PM10,88,158,122
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","11-02-2026 10:00:00",22.06631475,83.33820077,OZONE,4,94,14
India,Delhi,Delhi,"Alipur, Delhi - DPCC","11-02-2026 10:00:00",28.815329,77.153010,SO2,1,14,5
India,Delhi,Delhi,"Alipur, Delhi - DPCC","11-02-2026 10:00:00",28.815329,77.153010,OZONE,5,81,6
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","11-02-2026 10:00:00",28.695381,77.181665,PM10,129,491,339
